Title,Year,Director,Rating,,Number of Ratings,Country
The End of the World (1916),2017,Unknown,8.0,,225725,United Kingdom
End of the World (1931),1931,Abel Gance,5.3,,91,United Kingdom
Deluge (1933),1933,Felix E. Feist,6.4,,731,United States
Things to Come (1936),2021,Unknown,N/A,,9238,United Kingdom
Five (1951),1951,Arch Oboler,6.3,,1644,United States
When Worlds Collide (1951),1951,Rudolph Maté,6.6,,9487,United States
Captive Women (1952),1952,Stuart Gilmore,5.0,,160,United States
Robot Monster (1953),1953,Phil Tucker,3.0,,N/A,Australia
Day the World Ended (1955),1955,Roger Corman,5.4,,2695,United States
World Without End (1956),1977,Unknown,N/A,,2418,United States
The Lost Missile (1958),1958,Lester Wm. Berke,5.1,,1043,United States
Teenage Caveman (1958),1958,Roger Corman,3.5,,N/A,Unknown
On the Beach (1959),1959,Stanley Kramer,7.1,,14621,United States
"The World, the Flesh and the Devil (1959)",1959,Ranald MacDougall,6.8,,3591,United States
Beyond the Time Barrier (1960),1960,Edgar G. Ulmer,5.3,,2077,United States
Last Woman on Earth (1960),1960,Roger Corman,4.7,,2206,United States
Battle of the Worlds (1961),1970,Unknown,N/A,,1009,Italy
The Last War (1961),1961,Shûe Matsubayashi,6.2,,266,Japan
The Day the Earth Caught Fire (1961),1961,Val Guest,7.2,,6385,United Kingdom
The Creation of the Humanoids (1962),1962,Wesley Barry,5.7,,1556,United States
Panic in Year Zero! (1962),1962,Ray Milland,6.6,,4923,United States
The Day of the Triffids (1962),2009,Unknown,7.0,,9072,United Kingdom
This Is Not a Test (1962),1962,Fredric Gadette,5.3,,913,United States
La Jetée (1962),1962,Chris Marker,8.2,,N/A,Unknown
Ladybug Ladybug (1963),1963,Frank Perry,7.2,,1000,United States
Dr. Strangelove or: How I Learned To Stop Worrying and Love the Bomb (1964),1964,Stanley Kubrick,8.3,,523888,United Kingdom
The Time Travelers (1964),1974,Unknown,N/A,,3277,United States
